song_id,name,duration,album_id,country_chart,chart_rank
6NKrW1a2OYNwAXuN4MgwXi,Malianteo 420,195529,7xdPNbwpkvpVSllF4CRcyT,Argentina,49
15OjBeqNX3bShsGYQbteRv,La Tóxica,180520,1R0ocprmeDu8ZkZn29xYFx,Argentina,50
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),137875,2Hjcfw8zHN4dJDZJGOzLd6,Australia,1
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),198081,5dGWwsZ9iB2Xc3UKR0gif2,Australia,2
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,165925,0SVzFcpsByITKgURaxXdsV,Australia,3
02MWAaffLxlfxAUY7c5dvx,Heat Waves,238805,0KTj6k94XZh0c6IEMfxeWV,Australia,4
61KpQadow081I2AsbeLcsb,deja vu,215507,3lwHyR4joA1xB7Nun21EP6,Australia,5
3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,132780,57UjGWNfxfsBCykDm73XBK,Australia,6
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,161384,3YjfdLdpQcVI72uKhooZst,Australia,7
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),208866,1OnzqJTL9bwe4kvaLxRYxt,Australia,8
7lPN2DXiMsVn7XUKtOW1CS,drivers license,242013,66FPnVL9G4CMKy3wvaGTcr,Australia,9
6f3Slt0GbA2bPZlz0aIFXN,The Business,164000,2adSO4KU3FDjeM1PXCRDZm,Australia,10
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,198370,1zHR48K6XtWYm6bhrw4J6C,Australia,11
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,169153,39qsmsNRXjVaFqTZj9af0j,Australia,12
1nahzW3kfMuwReTka28tH5,Hold On,170813,5dGWwsZ9iB2Xc3UKR0gif2,Australia,13
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,242096,7dfPqXck6BB9wpThrVYBss,Australia,14
6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,141050,7p0HJKqXo2WpApHFp1iDcI,Australia,15
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,205458,3MEKpJ7wSSp6Z661ThjrUJ,Australia,16
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,162802,3SdFuYwyWoq7kuaHdTDcyD,Australia,17
1M4OcYkxAtu3ErzSgDEfoi,Up,156944,0Fe4Uj7GkgA1uDGGk8s92C,Australia,18
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),203064,5lKlFlReHOLShQKyRv6AL9,Australia,19
5QO79kh1waicV47BqGRL3g,Save Your Tears,215626,4yP0hdKOZPNshxUOjY0cZj,Australia,20
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),150052,7F9yYqHRtIZnEGF2tANI4b,Australia,21
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),140533,270o30h7cAlEhBnbuSpFZq,Australia,22
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,4yP0hdKOZPNshxUOjY0cZj,Australia,23
2CYVETnhM9aytqrazYYwrK,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),277591,4hDok0OAJd57SGIT8xuWJH,Australia,24
4wqzOaLxiCRy2Et8tRyNSX,The Thrill,234333,2M0nxA3m2sZ5DyDzCdzScf,Australia,25
2gqWRRCXnma9L8xQ1RdemQ,SO DONE,126521,3jDDMndpwWL3yDcDQcxk7R,Australia,26
60ynsPSSKe6O3sfwRnIBRf,Streets,226986,1MmVkhiwTH0BkNOU3nw5d3,Australia,27
2WnAKZefdRHxtBEkRjFOHC,Anyone,190779,5dGWwsZ9iB2Xc3UKR0gif2,Australia,28
3CVb6hkMrlF7eHhXi5B3PZ,Body,183829,02ZsXShyE1HUqQceWLONcJ,Australia,29
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,182160,5658aM19fA3JVwTK6eQX70,Australia,30
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,174760,26c7MmQ4w8EAvVLb4jilaM,Australia,31
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),166028,5glfCPECXSHzidU6exW8wO,Australia,32
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,279204,781cKhbTPwLnPmo9BALQl7,Australia,33
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),167903,15sy3XQFShOFiDpKoxByyA,Australia,34
6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),227395,4jGaPN2gEpKciN02ZKRShT,Australia,35
5ri4zqtWhG07hIuNNDWP76,Fly Away,178156,7jRjPcWQMYGtD6gPBDZiAq,Australia,36
1diS6nkxMQc3wwC4G1j0bh,We're Good,165506,0JeyP8r2hBxYIoxXv11XiX,Australia,37
5FQPpxOXsvkMN6v18gtpwY,Bang!,170858,1y2AzG31F4CuCKQ1rpIzaI,Australia,38
1J14CdDAvBTE1AJYUOwl6C,Arcade,185146,4fEgAL4ge9hHhxVDCUZbeF,Australia,39
6Xgq7MvZiet0hVi3KaDSgJ,Holy (feat. Chance The Rapper),212093,5dGWwsZ9iB2Xc3UKR0gif2,Australia,40
0siYMEsGrzzzlWLXK5zJfS,BED,178087,36tML2tWjDrbLW4FgrX17U,Australia,41
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,174000,7xV2TzoaVc0ycW7fwBwAml,Australia,42
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,257800,0BwWUstDMUbgq2NYONRqlu,Australia,43
45bE4HXI0AwGZXfZtMp8JR,you broke me first,169265,1RWiRfdNZKDe8VXzzf2VEc,Australia,44
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,132832,39xhYyNNDatQtgKw2KdXMz,Australia,45
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",195428,2vGU0DOcfsDee0euvhl1iZ,Australia,46
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),187541,2ogiazbrNEx0kQHGl5ZBTQ,Australia,47
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,160000,7e7t0MCrNDcJZsPwUKjmOc,Australia,48
4yyX2Iu4xJjW9xMvBZKSBi,Met Him Last Night (feat. Ariana Grande),204631,3XsdVkuj3zMVHPRvodOgeE,Australia,49
