album_id,album_name,release_date
5glfCPECXSHzidU6exW8wO,Head & Heart (feat. MNEK),2020-07-03
3SdFuYwyWoq7kuaHdTDcyD,Goosebumps (Remix),2021-01-15
7p0HJKqXo2WpApHFp1iDcI,Cover Me In Sunshine,2021-02-12
3CHys9v5aX1NS861o6r556,Love Not War (The Tampa Beat),2020-11-20
0cPGWnwGhDm4SAV8h2Ot6l,Vroum Vroum,2021-03-26
49HjM8mnjS9PgYjSC03tkS,Goosebumps,2020-06-12
3MEKpJ7wSSp6Z661ThjrUJ,Destined 2 Win,2021-04-02
1MZ3ZQqAV3wFjHjaOe6KFz,Head Shoulders Knees & Toes (feat. Norma Jean Martine),2020-05-08
48rrtJw6xklCA9GIV3Eb2L,Rise,2021-03-19
26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,2020-09-18
3PbHh4WEBxiXZj3eXoiRP2,Nu Wij Niet Meer Praten,2020-10-09
1RWiRfdNZKDe8VXzzf2VEc,you broke me first,2020-04-17
0kHRftVXaiRHgQdtviml0G,Loyalty Over Royalty,2021-02-19
3d8o0AqmlT4STAg3yti4Ix,Tranen,2021-03-05
5boy0Dm6JWz7YP8yIWdiyg,Girls Like Us,2021-01-12
4YbZBB4HuIetaPBvadyys0,Vuurwerk,2021-03-26
1nz0PWfAcTQVbFtpU6u1UY,Follow You / Cutthroat,2021-03-12
0i72GjB523RgrjK8HUa61B,Wasted Love (feat. Lagique),2021-01-08
1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,2020-03-27
5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
4EvukZrmNBiqJbs3LwOSHu,HOLIDAY,2020-11-13
0Fe4Uj7GkgA1uDGGk8s92C,Up (Instrumental),2021-02-04
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27
4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,2018-10-05
36tML2tWjDrbLW4FgrX17U,BED,2021-02-26
7g5WqPI4CdA22Cy8LxRXCf,Los Legendarios 001,2021-02-04
5sIyJyOgwEIOgBhLxIGG3t,Bandido,2020-12-10
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
4G5Vks8Uru6hWVdZba0fP1,911,2021-02-05
2jGa3OwXatFYQAIS7OV7k9,Revelación - EP,2021-03-12
00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04
1dzGsItgF4Gp1G4TNsdoXU,Más Negro Que Rojo,2020-07-31
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26
5Jk2ROWL8a4RxmFNiT8pvA,Ella No Es Tuya (Remix),2021-02-03
3fq06DDIkadDRB9RuBb22v,Afrodisíaco,2020-11-13
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
3dGUvydBX9qhg2YBMsVope,AM,2021-01-28
6ScNKLKYY6rpgCIJThLnMH,"L-Gante: Bzrp Music Sessions, Vol. 38",2021-03-10
77aeZo4yYPoMsnnRtPPpuk,No Te Enamores (Remix),2020-11-20
0UEG3km1FB7nGZHwiSun8x,KrING,2019-10-04
0p2yf6DucEgvj8Uk8KXJJv,PAPI JUANCHO,2020-08-21
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
2yYl7Q3GOoBjznGy0Rsc2f,Dopamina,2021-04-09
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26
7aS92ROK5rixV65VSRGPct,Chica Ideal,2020-10-16
0p2yf6DucEgvj8Uk8KXJJv,PAPI JUANCHO,2020-08-21
5F7rUv9XZPAnNfeKCYkqZS,Mi Niña,2020-09-23
1rQpXDegLbNBpe0fshpeKa,Travesuras (Remix),2021-03-11
2O985DZAb4i6M6iu4HWqSX,Relación (Remix),2020-09-04
4ARUAVQnIDB02yVO8uvaJE,El Amor En Los Tiempos Del Perreo,2021-03-18
1R0ocprmeDu8ZkZn29xYFx,La Tóxica,2020-07-24
69iuPQsXel3luOSDNF0q2Q,Enoc,2020-09-04
6JsZWQ0iaOn0GbirYWqwCi,AYAYAY! (Deluxe),2020-09-11
2AWg2kHOfuRPjJKYyttF9T,Fan de Tus Fotos,2021-02-08
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
1PuH88Md0tzB8UrnBfboJA,Mis Manos,2021-03-04
2yYl7Q3GOoBjznGy0Rsc2f,Dopamina,2021-04-09
5TXzXK8XclNSvQccVUiCf2,Si Me Tomo una Cerveza,2020-11-07
7F8Usvm4Vj3XlRztSBRfEH,"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",2021-03-05
4ARUAVQnIDB02yVO8uvaJE,El Amor En Los Tiempos Del Perreo,2021-03-18
5sEpXan86hEcM8eZSAoWhw,Platonicos,2020-06-12
3xhACmNvvaKmvdslE1bevB,Polvo,2020-11-20
62qqk2oK0GGO0AwWqUIqrJ,PROBLEMA,2021-02-26
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
38DYAL9bTbpSQpZwENwj78,Además de Mí (Remix),2021-03-04
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26
3Nle45IcWgxIkXQw8EtYq1,Ponte Pa' Mi,2020-11-20
1PuH88Md0tzB8UrnBfboJA,Mis Manos,2021-03-04
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
3fq06DDIkadDRB9RuBb22v,Afrodisíaco,2020-11-13
49Et8wid3L8iKof9lu78SS,Tu Veneno,2021-03-19
5eABKqhbKkcAkAi3o6tFun,Bonita,2021-03-12
6DHfMP3XhSQYlxs5a9l7s4,WACHA,2021-04-01
40T4QuY2o5FmisyJf3AlEf,"Aqui e Agora, Vol.1 (Ao Vivo)",2021-01-29
